"index_id","name","collection","fields","total_hits"
"CICAgLix9IYK","projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgLix9IYK","club_proposals","locationParts.kec;createdAt;__name__","4"
"CICAgJjUgIcK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgJjUgIcK","room_listings","isAvailable;isSponsored;locationParts.kab;type;price;createdAt;__name__","4"
"CICAgLjIpIcK","projects/blingbling-app/databases/(default)/collectionGroups/lost_and_found/indexes/CICAgLjIpIcK","lost_and_found","type;createdAt;__name__","4"
"CICAgOj3rYcK","projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgOj3rYcK","clubs","isSponsored;createdAt;__name__","4"
"CICAgLjyuogK","projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgLjyuogK","clubs","locationParts.kec;isSponsored;createdAt;__name__","4"
"CICAgNja0ogK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNja0ogK","room_listings","isAvailable;locationParts.kab;createdAt;__name__","4"
"CICAgNiryokK","projects/blingbling-app/databases/(default)/collectionGroups/auctions/indexes/CICAgNiryokK","auctions","category;endAt;__name__","4"
"CICAgLjRh4oK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjRh4oK","room_listings","isAvailable;isSponsored;createdAt;__name__","4"
"CICAgJiUzYsK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiUzYsK","products","aiVerificationStatus;createdAt;__name__","4"
"CICAgOj35osK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgOj35osK","room_listings","isAvailable;isSponsored;type;furnishedStatus;price;createdAt;__name__","4"
"CICAgJiHu40K","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiHu40K","products","userId;createdAt;__name__","4"
"CICAgNir940K","projects/blingbling-app/databases/(default)/collectionGroups/auctions/indexes/CICAgNir940K","auctions","locationParts.kab;endAt;__name__","4"
"CICAgNiZ1o4K","projects/blingbling-app/databases/(default)/collectionGroups/jobs/indexes/CICAgNiZ1o4K","jobs","locationParts.kab;createdAt;__name__","4"
"CICAgNj4ho8K","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNj4ho8K","room_listings","isAvailable;isSponsored;type;roomCount;bathroomCount;price;createdAt;__name__","4"
"CICAgLjIzo8K","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjIzo8K","room_listings","isAvailable;isSponsored;locationParts.kab;type;kosBathroomType;price;createdAt;__name__","4"
"CICAgOi3kJAK","projects/blingbling-app/databases/(default)/collectionGroups/categories/indexes/CICAgOi3kJAK","categories","parentId;order;__name__","4"
"CICAgJiH2JAK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiH2JAK","products","locationParts.kab;createdAt;__name__","4"
"CICAgLiT_JAK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiT_JAK","products","status;createdAt;__name__","4"
"CICAgOj3gpIK","projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOj3gpIK","posts","parentType;createdAt;__name__","4"
"CICAgPigw5IK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgPigw5IK","room_listings","isAvailable;listingType;type;isSponsored;createdAt;price;__name__","4"
"CICAgNi4-ZIK","projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgNi4-ZIK","posts","category;createdAt;__name__","4"
"CICAgNjp5ZMK","projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgNjp5ZMK","posts","locationParts.kab;createdAt;__name__","4"
"CICAgNirk5QK","projects/blingbling-app/databases/(default)/collectionGroups/ai_cases/indexes/CICAgNirk5QK","ai_cases","stage;createdAt;__name__","4"
"CICAgJiH7ZQK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiH7ZQK","products","locationParts.kab;locationParts.kec;createdAt;__name__","4"
"CICAgLjyi5UK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLjyi5UK","products","locationParts.kab;status;isAiVerified;createdAt;__name__","4"
"CICAgJjUlJYK","projects/blingbling-app/databases/(default)/collectionGroups/categories_v2/indexes/CICAgJjUlJYK","categories_v2","active;parentId;order;__name__","4"
"CICAgLjIspYK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjIspYK","room_listings","isAvailable;type;isSponsored;createdAt;__name__","4"
"CICAgOj3u5YK","projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgOj3u5YK","club_proposals","locationParts.kel;createdAt;__name__","4"
"CICAgNiZwpcK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNiZwpcK","room_listings","isAvailable;isSponsored;type;propertyCondition;price;createdAt;__name__","4"
"CICAgLiTsZgK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiTsZgK","products","status;isAiVerified;createdAt;__name__","4"
"CICAgOi36pgK","projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOi36pgK","posts","category;locationParts.kab;createdAt;__name__","4"
"CICAgNjajpkK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNjajpkK","room_listings","isAvailable;isSponsored;locationParts.kab;type;roomCount;bathroomCount;furnishedStatus;propertyCondition;price;createdAt;__name__","4"
"CICAgLjywZkK","projects/blingbling-app/databases/(default)/collectionGroups/categories_v2/indexes/CICAgLjywZkK","categories_v2","active;order;__name__","4"
"CICAgJjm-pkK","projects/blingbling-app/databases/(default)/collectionGroups/pom/indexes/CICAgJjm-pkK","pom","searchIndex;locationParts.kab;createdAt;__name__","4"
"CICAgJiU25oK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiU25oK","products","address;createdAt;__name__","4"
"CICAgOj38ZoK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgOj38ZoK","room_listings","isAvailable;isSponsored;type;listingType;price;createdAt;__name__","4"
"CICAgLiI_5oK","projects/blingbling-app/databases/(default)/collectionGroups/jobs/indexes/CICAgLiI_5oK","jobs","jobType;createdAt;__name__","4"
"CICAgNjpr5sK","projects/blingbling-app/databases/(default)/collectionGroups/reports/indexes/CICAgNjpr5sK","reports","status;createdAt;__name__","4"
"CICAgJjFx5sK","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjFx5sK","products","categoryParentId;status;isAiVerified;createdAt;__name__","4"
"CICAgLix4JsK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLix4JsK","room_listings","isAvailable;isSponsored;locationParts.kab;type;listingType;price;createdAt;__name__","4"
"CICAgJjHoJwK","projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgJjHoJwK","club_proposals","locationParts.kab;createdAt;__name__","4"
"CICAgOi3z5wK","projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgOi3z5wK","room_listings","isAvailable;createdAt;__name__","4"
"CICAgJjU7p4K","projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjU7p4K","products","categoryId;locationParts.kab;status;isAiVerified;createdAt;__name__","4"
